s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
4,2021-03-05,Fri Mar 05 23:33:03 +0000 2021,1367981515263606786,jondoe84425761,,Not Geo-tagged,"b""@AlgodTrading @certik_io @Wault_Finance Were you in the pre sell or private sell? I can't seem to find any info on the devs as they're anons.""",$MENTION$ $MENTION$ $MENTION$ Were you in the pre sell or private sell? I can't seem to find any info on the devs as they're anons.,Were you in the pre sell or private sell? I ca not seem to find any info on the devs as they're anons.,were pre sell private sell seem find info devs anons,be pre sell private sell seem find info dev anon,[],{},{},0,0,[],,"['AlgodTrading', 'CertiK', 'Wault Finance']",0.0
5,2021-03-05,Fri Mar 05 23:32:50 +0000 2021,1367981458065780736,BaddCompani,"Portland, OR",Not Geo-tagged,b'@HunterJCullen @TheJusticeDept @MingGao26 @ConcreteFroggy @TelvinGriffin @stilljanky trolls working hackers working peoples private info to steal finances.',$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ trolls working hackers working peoples private info to steal finances.,trolls working hackers working peoples private info to steal finances.,trolls working hackers working peoples private info steal finances,trolls work hacker work people private info steal finance,[],{},{},1,19,[],,"['Hunter Cullen 👠 #NATOArticle5', 'Justice Department', 'Ming Solenya Nalvany', 'Anti-Fascist Froggy', 'Telvin Griffin', 'Alison !']",-0.4939
1,2021-03-05,Fri Mar 05 23:54:36 +0000 2021,1367986937374605312,HomeBusinessCen,,Not Geo-tagged,"b'Travel Board Suggests Federal Model Use, Private Collaboration For\xc2\xa0Recovery https://t.co/cJJeaI1MzR'","Travel Board Suggests Federal Model Use, Private Collaboration ForRecovery $URL$","Travel Board Suggests Federal Model Use, Private Collaboration For Recovery",travel board suggests federal model use private collaboration for recovery,travel board suggest federal model use private collaboration for recovery,[],{},{},0,0,[],https://startupbusinessideas.info/travel-board-suggests-federal-model-use-private-collaboration-for-recovery/,[],0.0
8,2021-03-05,Fri Mar 05 23:18:55 +0000 2021,1367977959076765697,novita_diiah,"Bogor, Jawa Barat",Not Geo-tagged,b'avail\nopen private bo\ninclude /exclude slot terbatas no PHP\ninfo DM or Wa 083166844202 \n\n#angelsurabaya\n#opensurabaya\n#includesurabaya\n#excludesurabaya\n#bisyarsurabaya\n#bispaksurabaya\n#TrustedBooking\n#TrustedAngels\n#Recomended4BO\n#vcs\n#vcsreal\n#vcscolmek https://t.co/xZ9NBFHkuJ',avail open private bo include /exclude slot terbatas no PHP info DM or Wa $NUMBER$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,avail open private bo include /exclude slot terbatas no PHP info DM or Wa,avail open private include exclude slot terbatas php info dm wa,avail open private include exclude slot terbatas php info dm wa,[],{},{},0,0,"['angelsurabaya', 'opensurabaya', 'includesurabaya', 'excludesurabaya', 'bisyarsurabaya', 'bispaksurabaya', 'TrustedBooking', 'TrustedAngels', 'Recomended4BO', 'vcs', 'vcsreal', 'vcscolmek']",,[],-0.4767
12,2021-03-05,Fri Mar 05 23:03:00 +0000 2021,1367973952707059716,StanleyGemmell,"South Florida, USA",Not Geo-tagged,b'@veronavandeleur Hi I FINALLY have your astrology info ready! Dm me please for the private blog link and password and thank you for your patience! I love you Forever!!',$MENTION$ Hi I FINALLY have your astrology info ready! Dm me please for the private blog link and password and thank you for your patience! I love you Forever!!,Hi I FINALLY have your astrology info ready! Dm me please for the private blog link and password and thank you for your patience! I love you Forever!!,hi finally astrology info ready dm please private blog link password thank patience love forever,hi finally astrology info ready dm please private blog link password thank patience love forever,[],{},{},0,1,[],,['Verona vd Leur 🔝1.5% Onlyfans.com/VeronaGymnast'],0.913
14,2021-03-05,Fri Mar 05 22:57:52 +0000 2021,1367972659540205572,ProxiBlue,Perth,Not Geo-tagged,b'@varjmes Sorry to burts your bubble but my own experience is that humans at work are only your friend until they need to step on you to further their own careers. Be carefull who you trust in your work environment with certain info and allowing them into your private space.',$MENTION$ Sorry to burts your bubble but my own experience is that humans at work are only your friend until they need to step on you to further their own careers. Be carefull who you trust in your work environment with certain info and allowing them into your private space.,Sorry to burts your bubble but my own experience is that humans at work are only your friend until they need to step on you to further their own careers. Be carefull who you trust in your work environment with certain info and allowing them into your private space.,sorry burts bubble experience humans work friend need step careers be carefull trust work environment certain info allowing private space,sorry burt bubble experience human work friend need step career be carefull trust work environment certain info allow private space,[],{},{},0,0,[],,['mathlete'],0.9052
2,2021-03-05,Fri Mar 05 23:52:27 +0000 2021,1367986397232119815,tapeworthy,99o,Not Geo-tagged,"b""and I'm prob stretching it, but also reminds me of the taboos of keeping salaries secret, while BIPOC folk advocate to share this info, because it only protects a corrupt structure that benefits groups already w/ power. \nLetting info be kept private sounds like protection. is it?""","and I'm prob stretching it, but also reminds me of the taboos of keeping salaries secret, while BIPOC folk advocate to share this info, because it only protects a corrupt structure that benefits groups already w/ power. Letting info be kept private sounds like protection. is it?","and I'm prob stretching it, but also reminds me of the taboos of keeping salaries secret, while BIPOC folk advocate to share this info, because it only protects a corrupt structure that benefits groups already w/ power. Letting info be kept private sounds like protection. is it?",prob stretching also reminds taboos keeping salaries secret bipoc folk advocate share info protects corrupt structure benefits groups already power letting info kept private sounds like protection,prob stretch also remind taboo keeping salary secret bipoc folk advocate share info protect corrupt structure benefit group already power let info keep private sound like protection,[],{},{},0,1,[],,[],0.9081
11,2021-03-05,Fri Mar 05 23:03:50 +0000 2021,1367974160463372291,Sparkzwtff,,Not Geo-tagged,b'@ChiefFNBR @Tigerrrlol we want this to be private info',$MENTION$ $MENTION$ we want this to be private info,we want this to be private info,want private info,want private info,[],{},{},0,1,[],,"['chief', 'Tigerrr']",0.0772
40,2021-03-05,Fri Mar 05 22:00:06 +0000 2021,1367958120706768896,Madeja_info,Lithuania,Not Geo-tagged,b'check out my new Gallery on https://t.co/HUj8kky4l3. JuicyJo Vs Private Club https://t.co/kN2F7KxT18 @tacnet',check out my new Gallery on $URL$. JuicyJo Vs Private Club $URL$ $MENTION$,check out my new Gallery on . JuicyJo Vs Private Club,check new gallery juicyjo vs private club,check new gallery juicyjo vs private club,[],{},{},0,0,[],"http://TACAmateurs.com, https://www.tacamateurs.com/refer/ID000275/juicyjo/juicyjo-vs-private-club/3378/",['TACAmateurs'],0.0
13,2021-03-05,Fri Mar 05 23:02:24 +0000 2021,1367973798914441218,EricCir62379716,,Not Geo-tagged,"b""ONS talking down Scotland by publishing info on how Scotland's tiny private sector compares to England.\n\n9.71% = Scotland's population compared to England\n5.57% = Scotland's \xc2\xa3 turnover compared to England\n\nhttps://t.co/dHbDjwrynJ https://t.co/0sPkUzhyA6""",ONS talking down Scotland by publishing info on how Scotland's tiny private sector compares to England. $NUMBER$% = Scotland's population compared to England $NUMBER$% = Scotland's turnover compared to England $URL$ $URL$,ONS talking down Scotland by publishing info on how Scotland's tiny private sector compares to England. % = Scotland's population compared to England % = Scotland's turnover compared to England,ons talking scotland publishing info scotland tiny private sector compares england scotland population compared england scotland turnover compared england,ons talk scotland publishing info scotland tiny private sector compare england scotland population compare england scotland turnover compare england,[],{},{},0,1,[],https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/adhocs/12987privatesectorenterprisesbyemployeesizeandregion,[],0.0
