s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
1,2021-03-03,Wed Mar 03 23:53:40 +0000 2021,1367261928352022531,weepep,Ireland,Not Geo-tagged,b'@MorpheusNI Does anyone doubt this private info came from the dup?',$MENTION$ Does anyone doubt this private info came from the dup?,Does anyone doubt this private info came from the dup?,does anyone doubt private info came dup,do anyone doubt private info come dup,[],{},{},0,1,[],,['MorpheusNI'],-0.3612
3,2021-03-03,Wed Mar 03 23:49:30 +0000 2021,1367260879331364868,Bbwgilf67,Vancouver,Not Geo-tagged,"b""@LucifersQueen18 How do you keep your info private? I've been told they can see your address?""",$MENTION$ How do you keep your info private? I've been told they can see your address?,How do you keep your info private? I've been told they can see your address?,how keep info private told see address,how keep info private tell see address,[],{},{},0,1,[],,['Priestess of Lilith 🐍💀'],0.0
8,2021-03-03,Wed Mar 03 23:39:24 +0000 2021,1367258337474207744,ElleSriracha,🌶,Not Geo-tagged,b'@goldsteinE @DFSPokerNews 9pm ET go to Drew\xe2\x80\x99s stream info is there :) \n\nDrewcrew is the password under private tourneys',$MENTION$ $MENTION$ $NUMBER$pm ET go to Drews stream info is there :) Drewcrew is the password under private tourneys,pm ET go to Drew s stream info is there ) Drewcrew is the password under private tourneys,et drew stream info drewcrew password private tourneys,et draw stream info drewcrew password private tourney,[],{},{},0,2,[],,"['Eric Goldstein', 'DFS Poker']",0.0
12,2021-03-03,Wed Mar 03 23:27:19 +0000 2021,1367255294636621825,Jeff14586626,,Not Geo-tagged,"b""@MasterLiion @pulte I'll never give my private info to anyone because if they want to help I have 2 ways to help me without giving any money or info""",$MENTION$ $MENTION$ I'll never give my private info to anyone because if they want to help I have $NUMBER$ ways to help me without giving any money or info,I'll never give my private info to anyone because if they want to help I have ways to help me without giving any money or info,never give private info anyone want help ways help without giving money info,never give private info anyone want help way help without give money info,[],{},{},0,0,[],,"['RyomaTheBullet 🐝', 'Pulte']",0.5667
2,2021-03-03,Wed Mar 03 23:53:01 +0000 2021,1367261763763392513,MirantisIT,"Campbell, CA",Not Geo-tagged,b'See experts from Mirantis and @451Research in a round-table discussion-style #webinar on best practices for realizing the full benefits of on-premises #cloud infrastructure. \n\nWatch here \xe2\x96\xb6\xef\xb8\x8f  https://t.co/1tpjgLoRmX',See experts from Mirantis and $MENTION$ in a round-table discussion-style $HASHTAG$ on best practices for realizing the full benefits of on-premises $HASHTAG$ infrastructure. Watch here $URL$,See experts from Mirantis and in a round-table discussion-style on best practices for realizing the full benefits of on-premises infrastructure. Watch here,see experts mirantis round table discussion style best practices realizing full benefits premises infrastructure watch,see expert mirantis round table discussion style good practice realize full benefit premise infrastructure watch,[],{},{},1,1,"['webinar', 'cloud']",https://bit.ly/3kh2LLY,['451 Research'],0.7783
5,2021-03-03,Wed Mar 03 23:42:39 +0000 2021,1367259155162148866,Mr_Pilkington,"Atlanta, GA",Not Geo-tagged,"b""Some troll has been cyberstalking me all day. Congrats mang, you're privy to info I never tried to make private \xf0\x9f\xa4\xa3\n\nSome of y'all got too much time on your hands.""","Some troll has been cyberstalking me all day. Congrats mang, you're privy to info I never tried to make private Some of y'all got too much time on your hands.","Some troll has been cyberstalking me all day. Congrats mang, you're privy to info I never tried to make private Some of y'all got too much time on your hands.",some troll cyberstalking day congrats mang privy info never tried make private some got much time hands,some troll cyberstalke day congrat mang privy info never try make private some get much time hand,[],{},{},0,3,[],,[],0.5267
6,2021-03-03,Wed Mar 03 23:41:52 +0000 2021,1367258955773272064,pebblestakeova,dni if ur in poppytwt,Not Geo-tagged,b'like if your carrd is basically your interests n trigger n shit im fine with it but some people just dont like putting private info out on the internet and just respect that pls',like if your carrd is basically your interests n trigger n shit im fine with it but some people just dont like putting private info out on the internet and just respect that pls,like if your carrd is basically your interests n trigger n shit im fine with it but some people just dont like putting private info out on the internet and just respect that pls,like carrd basically interests trigger shit fine people dont like putting private info internet respect pls,like carrd basically interest trigger shit fine people do not like put private info internet respect pls,[],{},{},0,1,[],,[],0.5081
16,2021-03-03,Wed Mar 03 23:17:17 +0000 2021,1367252768923254786,Monopurple0,your mom's basement ❤,Not Geo-tagged,b'@sawtpot @CATAMINEZ omg i have to put basic info on my bio???? omg thats so private and personal \xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84',$MENTION$ $MENTION$ omg i have to put basic info on my bio???? omg thats so private and personal $EMOJI$$EMOJI$$EMOJI$,omg i have to put basic info on my bio?? omg thats so private and personal,omg put basic info bio omg thats private personal,omg put basic info bio omg that s private personal,[],{},{},0,0,[],,"['geli', 'Leo 🐒']",0.0
27,2021-03-03,Wed Mar 03 22:49:58 +0000 2021,1367245895511633921,dodohbit,She/her 21 (dnf if under 17) ,Not Geo-tagged,b'Leaving people in suspense is quite fun though. But on a more serious note we most definitely should not be putting all of our private info online https://t.co/5NKpLlWqFJ',Leaving people in suspense is quite fun though. But on a more serious note we most definitely should not be putting all of our private info online $URL$,Leaving people in suspense is quite fun though. But on a more serious note we most definitely should not be putting all of our private info online,leaving people suspense quite fun though but serious note definitely putting private info online,leave people suspense quite fun though but serious note definitely put private info online,[],{},{},0,2,[],https://twitter.com/catboypunzo/status/1366500862382718978,[],0.6593
33,2021-03-03,Wed Mar 03 22:43:52 +0000 2021,1367244359511416834,SpotifyCares,,Not Geo-tagged,"b""@yongblah Thanks for the info. We've shared more info with you in private. Check your inbox and you'll find our message \xf0\x9f\x99\x82 /AM""",$MENTION$ Thanks for the info. We've shared more info with you in private. Check your inbox and you'll find our message $EMOJI$ /AM,Thanks for the info. We've shared more info with you in private. Check your inbox and you'll find our message /AM,thanks info we shared info private check inbox find message am,thank info share info private check inbox find message be,[],{},{},0,0,[],,['Aaron Yongblah'],0.6486
14,2021-03-03,Wed Mar 03 23:23:42 +0000 2021,1367254385500258305,suhmayzooka,i write sometimes,Not Geo-tagged,"b""@jrseyboys I'm so private I don't even use my real name and these kids are listing their life stories??? I really think they don't realize how the web isn't just their Twitter mutuals (most if not all of whom are strangers) and how easy it is to find someone's info""",$MENTION$ I'm so private I don't even use my real name and these kids are listing their life stories??? I really think they don't realize how the web isn't just their Twitter mutuals (most if not all of whom are strangers) and how easy it is to find someone's info,I'm so private I do not even use my real name and these kids are listing their life stories?? I really think they do not realize how the web is not just their Twitter mutuals (most if not all of whom are strangers) and how easy it is to find someone's info,private even use real name kids listing life stories really think realize web twitter mutuals strangers easy find someone info,private even use real name kid list life story really think realize web twitter mutual stranger easy find someone info,[],{},{},0,0,[],,['hannah⛳️'],0.504
7,2021-03-03,Wed Mar 03 23:39:45 +0000 2021,1367258424547901440,BaoBaoMaowMaow,I cover the waterfront,Not Geo-tagged,b'@AliceFromQueens I have some reservations about Tara Reade\xe2\x80\x99s claims but KHive people went as far as hosting a YouTube show where they discussed private medical info about her daughter',$MENTION$ I have some reservations about Tara Reades claims but KHive people went as far as hosting a YouTube show where they discussed private medical info about her daughter,I have some reservations about Tara Reade s claims but KHive people went as far as hosting a YouTube show where they discussed private medical info about her daughter,reservations tara reade claims khive people went far hosting youtube show discussed private medical info daughter,reservation tara reade claim khive people go far host youtube show discuss private medical info daughter,[],{},{},0,1,[],,"[""Alice knows exactly what she's doing 🌿""]",0.0
4,2021-03-03,Wed Mar 03 23:44:48 +0000 2021,1367259693912006656,Delta,Global,Not Geo-tagged,"b'@PLAYLiveMcCall Hey there, happy to take a look at this. Please send your info through the DM link and I will be able to meet you in the Private Chat to review: Antoinette https://t.co/6iDGBJRMTU'","$MENTION$ Hey there, happy to take a look at this. Please send your info through the DM link and I will be able to meet you in the Private Chat to review: Antoinette $URL$","Hey there, happy to take a look at this. Please send your info through the DM link and I will be able to meet you in the Private Chat to review Antoinette",hey happy take look please send info dm link able meet private chat review antoinette,hey happy take look please send info dm link able meet private chat review antoinette,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=5920532,['PLAYLive McCall'],0.745
23,2021-03-03,Wed Mar 03 23:01:29 +0000 2021,1367248794522431492,marioknowIes,he/they,Not Geo-tagged,b'also i\xe2\x80\x99m obviously talking about the people who include private info if all you have is your stan list pronouns name etc then obviously it doesn\xe2\x80\x99t apply to you pookums',also im obviously talking about the people who include private info if all you have is your stan list pronouns name etc then obviously it doesnt apply to you pookums,also i m obviously talking about the people who include private info if all you have is your stan list pronouns name etc then obviously it doesn t apply to you pookums,also obviously talking people include private info stan list pronouns name etc obviously apply pookums,also obviously talk people include private info stan list pronoun name etc obviously apply pookum,[],{},{},11,359,[],,[],0.0
30,2021-03-03,Wed Mar 03 22:46:46 +0000 2021,1367245090607927301,news98info,"Uttar Pradesh, India",Not Geo-tagged,b'Japanese Billionaire Invites 8 People to Join Him for Private Lunar\xc2\xa0Expedition https://t.co/meTy9arNAM',Japanese Billionaire Invites $NUMBER$ People to Join Him for Private LunarExpedition $URL$,Japanese Billionaire Invites People to Join Him for Private Lunar Expedition,japanese billionaire invites people join him private lunar expedition,japanese billionaire invite people join private lunar expedition,[],{},{},0,0,[],https://news98.info/japanese-billionaire-invites-8-people-to-join-him-for-private-lunar-expedition/,[],0.296
36,2021-03-03,Wed Mar 03 22:35:30 +0000 2021,1367242253429665792,SalsaTekila,,Not Geo-tagged,"b'@IamNomad @SEC_Enforcement Or leak private info to Nomad catfish account,\n\nF'","$MENTION$ $MENTION$ Or leak private info to Nomad catfish account, F","Or leak private info to Nomad catfish account, F",or leak private info nomad catfish account ,or leak private info nomad catfish account,[],{},{},0,1,[],,"['i.am.nomad', 'SEC Enforcement']",-0.34
10,2021-03-03,Wed Mar 03 23:31:30 +0000 2021,1367256349764034561,palembang_real,,Not Geo-tagged,b'Ready slot \n-Booking private\n-vcs\n-massage\nInfo lebih lanjut Dm\xf0\x9f\x92\x8c/ https://t.co/t5W3elUnNi\n\n#Bispakpalembang\n#openbopalembang #availpalembang #bopalembang\n#lendirpalembang #bisyarpalembang #vcsbugil\n#sangeberat #RealAccount #vcscolmek #vcsberbayar #vcscroot #vcsyuk \n#vcs https://t.co/jnPgP6HlTT',Ready slot -Booking private -vcs -massage Info lebih lanjut Dm$EMOJI$/ $URL$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,Ready slot -Booking private -vcs -massage Info lebih lanjut Dm /,ready slot booking private vcs massage info lebih lanjut dm,ready slot book private vcs massage info lebih lanjut dm,[],{},{},0,1,"['Bispakpalembang', 'openbopalembang', 'availpalembang', 'bopalembang', 'lendirpalembang', 'bisyarpalembang', 'vcsbugil', 'sangeberat', 'RealAccount', 'vcscolmek', 'vcsberbayar', 'vcscroot', 'vcsyuk', 'vcs']",http://wa.me/+62814145715,[],0.3612
